Data Number,Pants/Shorts,Specific Type,Color
0,pants,,
1,pants,,
2,pants,,
3,pants,,
4,pants,,
5,pants,,
6,pants,,
7,pants,,
8,pants,,
9,pants,,
10,pants,,
11,pants,,
12,pants,,
13,pants,,
14,pants,,
15,pants,,
16,pants,,
17,pants,,
18,pants,,
19,pants,,
20,pants,,
21,pants,,
22,pants,,
23,pants,,
24,pants,,
25,pants,,
26,pants,,
27,pants,,
28,pants,,
29,pants,,
30,pants,,
31,pants,,
32,pants,,
33,pants,,
34,pants,,
35,pants,,
36,pants,,
37,pants,,
38,pants,,
39,pants,,
40,pants,,
41,pants,,
42,pants,,
43,pants,,
44,pants,,
45,pants,,
46,pants,,
47,pants,,
48,pants,,
49,pants,,
50,pants,,
51,pants,,
52,pants,,
53,pants,,
54,pants,,
55,pants,,
56,pants,,
57,pants,,
58,pants,,
59,pants,,
60,pants,,
61,pants,,
62,pants,,
63,pants,,
64,pants,,
65,pants,,
66,pants,,
67,pants,,
68,pants,,
69,pants,,
70,pants,,
71,pants,,
72,pants,,
73,pants,,
74,pants,,
75,pants,,
76,pants,,
77,pants,,
78,pants,,
79,pants,,
80,pants,,
81,pants,,
82,pants,,
83,pants,,
84,pants,,
85,pants,,
86,pants,,
87,pants,,
88,pants,,
89,pants,,
90,pants,,
91,pants,,
92,pants,,
100,shorts,,
101,shorts,,
102,shorts,,
103,shorts,,
104,shorts,,
105,shorts,,
106,shorts,,
107,shorts,,
108,shorts,,
109,shorts,,
110,shorts,,
111,shorts,,
112,shorts,,
113,shorts,,
114,shorts,,
115,shorts,,
116,shorts,,
117,shorts,,
118,shorts,,
119,shorts,,
120,shorts,,
121,shorts,,
122,shorts,,
123,shorts,,
124,shorts,,
125,shorts,,
126,shorts,,
127,shorts,,
128,shorts,,
129,shorts,,
130,shorts,,
131,shorts,,
132,shorts,,
133,shorts,,
134,shorts,,
135,shorts,,
136,shorts,,
137,shorts,,
138,shorts,,
139,shorts,,
140,shorts,,
141,shorts,,
142,shorts,,
200,pants,,
201,pants,,
202,pants,,
203,pants,,
204,pants,,
205,pants,,
206,pants,,
207,pants,,
208,pants,,
209,pants,,
210,pants,,
211,pants,,
212,pants,,
213,pants,,
214,pants,,
215,pants,,
216,pants,,
217,pants,,
218,pants,,
219,pants,,
220,pants,,
221,pants,,
222,pants,,
223,pants,,
224,pants,,
225,pants,,
226,pants,,
227,pants,,
228,pants,,
229,pants,,
230,pants,,
231,pants,,
232,pants,,
233,pants,,
234,pants,,
235,pants,,
236,pants,,
237,pants,,
238,pants,,
239,pants,,
240,pants,,
241,pants,,
242,pants,,
243,pants,,
244,pants,,
245,pants,,
246,pants,,
247,pants,,
248,pants,,
249,pants,,
250,pants,,
251,pants,,
252,pants,,
253,pants,,
254,pants,,
255,pants,,
256,pants,,
257,pants,,
258,pants,,
259,pants,,
260,pants,,
261,pants,,
262,pants,,
263,pants,,
264,pants,,
265,pants,,
266,pants,,
267,pants,,
268,pants,,
269,pants,,
270,pants,,
271,pants,,
272,pants,,
273,pants,,
274,pants,,
275,pants,,
276,pants,,
277,pants,,
278,pants,,
279,pants,,
280,pants,,
281,pants,,
282,pants,,
283,pants,,
284,pants,,
285,pants,,
286,pants,,
287,pants,,
288,pants,,
289,pants,,
290,pants,,
291,pants,,
292,pants,,
300,shorts,,
301,shorts,,
302,shorts,,
303,shorts,,
304,shorts,,
305,shorts,,
306,shorts,,
307,shorts,,
308,shorts,,
309,shorts,,
310,shorts,,
311,shorts,,
312,shorts,,
313,shorts,,
314,shorts,,
315,shorts,,
316,shorts,,
317,shorts,,
318,shorts,,
319,shorts,,
320,shorts,,
321,shorts,,
322,shorts,,
323,shorts,,
324,shorts,,
325,shorts,,
326,shorts,,
327,shorts,,
328,shorts,,
329,shorts,,
330,shorts,,
331,shorts,,
332,shorts,,
333,shorts,,
334,shorts,,
335,shorts,,
336,shorts,,
337,shorts,,
338,shorts,,
339,shorts,,
340,shorts,,
341,shorts,,
342,shorts,,
400,pants,,
401,pants,,
402,pants,,
403,pants,,
404,pants,,
405,pants,,
406,pants,,
407,pants,,
408,pants,,
409,pants,,
410,pants,,
411,pants,,
412,pants,,
413,pants,,
414,pants,,
415,pants,,
416,pants,,
417,pants,,
418,pants,,
419,pants,,
420,pants,,
421,pants,,
422,pants,,
423,pants,,
424,pants,,
425,pants,,
426,pants,,
427,pants,,
428,pants,,
429,pants,,
430,pants,,
431,pants,,
432,pants,,
433,pants,,
434,pants,,
435,pants,,
436,pants,,
437,pants,,
438,pants,,
439,pants,,
440,pants,,
441,pants,,
442,pants,,
443,pants,,
444,pants,,
445,pants,,
446,pants,,
447,pants,,
448,pants,,
449,pants,,
450,pants,,
451,pants,,
452,pants,,
453,pants,,
454,pants,,
455,pants,,
456,pants,,
457,pants,,
458,pants,,
459,pants,,
460,pants,,
461,pants,,
462,pants,,
463,pants,,
464,pants,,
465,pants,,
466,pants,,
467,pants,,
468,pants,,
469,pants,,
470,pants,,
471,pants,,
472,pants,,
473,pants,,
474,pants,,
475,pants,,
476,pants,,
477,pants,,
478,pants,,
479,pants,,
480,pants,,
481,pants,,
482,pants,,
483,pants,,
484,pants,,
485,pants,,
486,pants,,
487,pants,,
488,pants,,
489,pants,,
490,pants,,
491,pants,,
492,pants,,
500,shorts,,
501,shorts,,
502,shorts,,
503,shorts,,
504,shorts,,
505,shorts,,
506,shorts,,
507,shorts,,
508,shorts,,
509,shorts,,
510,shorts,,
511,shorts,,
512,shorts,,
513,shorts,,
514,shorts,,
515,shorts,,
516,shorts,,
517,shorts,,
518,shorts,,
519,shorts,,
520,shorts,,
521,shorts,,
522,shorts,,
523,shorts,,
524,shorts,,
525,shorts,,
526,shorts,,
527,shorts,,
528,shorts,,
529,shorts,,
530,shorts,,
531,shorts,,
532,shorts,,
533,shorts,,
534,shorts,,
535,shorts,,
536,shorts,,
537,shorts,,
538,shorts,,
539,shorts,,
540,shorts,,
541,shorts,,
542,shorts,,
600,pants,,
601,pants,,
602,pants,,
603,pants,,
604,pants,,
605,pants,,
606,pants,,
607,pants,,
608,pants,,
609,pants,,
610,pants,,
611,pants,,
612,pants,,
613,pants,,
614,pants,,
615,pants,,
616,pants,,
617,pants,,
618,pants,,
619,pants,,
620,pants,,
621,pants,,
622,pants,,
623,pants,,
624,pants,,
625,pants,,
626,pants,,
627,pants,,
628,pants,,
629,pants,,
630,pants,,
631,pants,,
632,pants,,
633,pants,,
634,pants,,
635,pants,,
636,pants,,
637,pants,,
638,pants,,
639,pants,,
640,pants,,
641,pants,,
642,pants,,
643,pants,,
644,pants,,
645,pants,,
646,pants,,
647,pants,,
648,pants,,
649,pants,,
650,pants,,
651,pants,,
652,pants,,
653,pants,,
654,pants,,
655,pants,,
656,pants,,
657,pants,,
658,pants,,
659,pants,,
660,pants,,
661,pants,,
662,pants,,
663,pants,,
664,pants,,
665,pants,,
666,pants,,
667,pants,,
668,pants,,
669,pants,,
670,pants,,
671,pants,,
672,pants,,
673,pants,,
674,pants,,
675,pants,,
676,pants,,
677,pants,,
678,pants,,
679,pants,,
680,pants,,
681,pants,,
682,pants,,
683,pants,,
684,pants,,
685,pants,,
686,pants,,
687,pants,,
688,pants,,
689,pants,,
690,pants,,
691,pants,,
692,pants,,
700,shorts,,
701,shorts,,
702,shorts,,
703,shorts,,
704,shorts,,
705,shorts,,
706,shorts,,
707,shorts,,
708,shorts,,
709,shorts,,
710,shorts,,
711,shorts,,
712,shorts,,
713,shorts,,
714,shorts,,
715,shorts,,
716,shorts,,
717,shorts,,
718,shorts,,
719,shorts,,
720,shorts,,
721,shorts,,
722,shorts,,
723,shorts,,
724,shorts,,
725,shorts,,
726,shorts,,
727,shorts,,
728,shorts,,
729,shorts,,
730,shorts,,
731,shorts,,
732,shorts,,
733,shorts,,
734,shorts,,
735,shorts,,
736,shorts,,
737,shorts,,
738,shorts,,
739,shorts,,
740,shorts,,
741,shorts,,
742,shorts,,
800,pants,,
801,pants,,
802,pants,,
803,pants,,
804,pants,,
805,pants,,
806,pants,,
807,pants,,
808,pants,,
809,pants,,
810,pants,,
811,pants,,
812,pants,,
813,pants,,
814,pants,,
815,pants,,
816,pants,,
817,pants,,
818,pants,,
819,pants,,
820,pants,,
821,pants,,
822,pants,,
823,pants,,
824,pants,,
825,pants,,
826,pants,,
827,pants,,
828,pants,,
829,pants,,
830,pants,,
831,pants,,
832,pants,,
833,pants,,
834,pants,,
835,pants,,
836,pants,,
837,pants,,
838,pants,,
839,pants,,
840,pants,,
841,pants,,
842,pants,,
843,pants,,
844,pants,,
845,pants,,
846,pants,,
847,pants,,
848,pants,,
849,pants,,
850,pants,,
851,pants,,
852,pants,,
853,pants,,
854,pants,,
855,pants,,
856,pants,,
857,pants,,
858,pants,,
859,pants,,
860,pants,,
861,pants,,
862,pants,,
863,pants,,
864,pants,,
865,pants,,
866,pants,,
867,pants,,
868,pants,,
869,pants,,
870,pants,,
871,pants,,
872,pants,,
873,pants,,
874,pants,,
875,pants,,
876,pants,,
877,pants,,
878,pants,,
879,pants,,
880,pants,,
881,pants,,
882,pants,,
883,pants,,
884,pants,,
885,pants,,
886,pants,,
887,pants,,
888,pants,,
889,pants,,
890,pants,,
891,pants,,
892,pants,,
900,shorts,,
901,shorts,,
902,shorts,,
903,shorts,,
904,shorts,,
905,shorts,,
906,shorts,,
907,shorts,,
908,shorts,,
909,shorts,,
910,shorts,,
911,shorts,,
912,shorts,,
913,shorts,,
914,shorts,,
915,shorts,,
916,shorts,,
917,shorts,,
918,shorts,,
919,shorts,,
920,shorts,,
921,shorts,,
922,shorts,,
923,shorts,,
924,shorts,,
925,shorts,,
926,shorts,,
927,shorts,,
928,shorts,,
929,shorts,,
930,shorts,,
931,shorts,,
932,shorts,,
933,shorts,,
934,shorts,,
935,shorts,,
936,shorts,,
937,shorts,,
938,shorts,,
939,shorts,,
940,shorts,,
941,shorts,,
942,shorts,,
1000,pants,,
1001,pants,,
1002,pants,,
1003,pants,,
1004,pants,,
1005,pants,,
1006,pants,,
1007,pants,,
1008,pants,,
1009,pants,,
1010,pants,,
1011,pants,,
1012,pants,,
1013,pants,,
1014,pants,,
1015,pants,,
1016,pants,,
1017,pants,,
1018,pants,,
1019,pants,,
1020,pants,,
1021,pants,,
1022,pants,,
1023,pants,,
1024,pants,,
1025,pants,,
1026,pants,,
1027,pants,,
1028,pants,,
1029,pants,,
1030,pants,,
1031,pants,,
1032,pants,,
1033,pants,,
1034,pants,,
1035,pants,,
1036,pants,,
1037,pants,,
1038,pants,,
1039,pants,,
1040,pants,,
1041,pants,,
1042,pants,,
1043,pants,,
1044,pants,,
1045,pants,,
1046,pants,,
1047,pants,,
1048,pants,,
1049,pants,,
1050,pants,,
1051,pants,,
1052,pants,,
1053,pants,,
1054,pants,,
1055,pants,,
1056,pants,,
1057,pants,,
1058,pants,,
1059,pants,,
1060,pants,,
1061,pants,,
1062,pants,,
1063,pants,,
1064,pants,,
1065,pants,,
1066,pants,,
1067,pants,,
1068,pants,,
1069,pants,,
1070,pants,,
1071,pants,,
1072,pants,,
1073,pants,,
1074,pants,,
1075,pants,,
1076,pants,,
1077,pants,,
1078,pants,,
1079,pants,,
1080,pants,,
1081,pants,,
1082,pants,,
1083,pants,,
1084,pants,,
1085,pants,,
1086,pants,,
1087,pants,,
1088,pants,,
1089,pants,,
1090,pants,,
1091,pants,,
1092,pants,,
1093,pants,,
1100,shorts,,
1101,shorts,,
1102,shorts,,
1103,shorts,,
1104,shorts,,
1105,shorts,,
1106,shorts,,
1107,shorts,,
1108,shorts,,
1109,shorts,,
1110,shorts,,
1111,shorts,,
1112,shorts,,
1113,shorts,,
1114,shorts,,
1115,shorts,,
1116,shorts,,
1117,shorts,,
1118,shorts,,
1119,shorts,,
1120,shorts,,
1121,shorts,,
1122,shorts,,
1123,shorts,,
1124,shorts,,
1125,shorts,,
1126,shorts,,
1127,shorts,,
1128,shorts,,
1129,shorts,,
1130,shorts,,
1131,shorts,,
1132,shorts,,
1133,shorts,,
1134,shorts,,
1135,shorts,,
1136,shorts,,
1137,shorts,,
1138,shorts,,
1139,shorts,,
1140,shorts,,
1141,shorts,,
